title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag,xml_url,sha256,status,parsed_records
"4 - AMKOR TECHNOLOGY, INC. (0001047127) (Issuer)",4,2026-06-25 20:39:03,0001628280-26-045556,0001047127,"4 - AMKOR TECHNOLOGY, INC. (0001047127) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1047127/000162828026045556,https://www.sec.gov/Archives/edgar/data/1047127/000162828026045556/0001628280-26-045556-index.htm,False,https://www.sec.gov/Archives/edgar/data/1047127/000162828026045556/wk-form4_1782419941.xml,102256c77663f6401332a8d680b1235c51a0865862ceaa8f52a5b05b7f16b914,parsed,0
4 - Bizily Scott (0001920738) (Reporting),4,2026-06-25 20:38:46,0001920738-26-000002,0001920738,4 - Bizily Scott (0001920738) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1920738/000192073826000002,https://www.sec.gov/Archives/edgar/data/1920738/000192073826000002/0001920738-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1920738/000192073826000002/ownership.xml,bb3a01c56e7f166b93267586fe5acc891a8f7f4a8923463e47805af64ed23c11,parsed,0
4 - Nagao Hideki (0001315306) (Reporting),4,2026-06-25 20:38:19,0001683168-26-005111,0001315306,4 - Nagao Hideki (0001315306) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1315306/000168316826005111,https://www.sec.gov/Archives/edgar/data/1315306/000168316826005111/0001683168-26-005111-index.htm,False,https://www.sec.gov/Archives/edgar/data/1315306/000168316826005111/ownership.xml,47df2a347430a19ad23b4198d6fe1548723e0d1f2a16fe9d19a82e2b0335d19a,parsed,0
4 - LANDY DANIEL O. (0001962988) (Reporting),4,2026-06-25 20:38:11,0000752642-26-000086,0001962988,4 - LANDY DANIEL O. (0001962988) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1962988/000075264226000086,https://www.sec.gov/Archives/edgar/data/1962988/000075264226000086/0000752642-26-000086-index.htm,False,https://www.sec.gov/Archives/edgar/data/1962988/000075264226000086/form4.xml,d941d5629693cc3da046215d3a0a9a822f6a7d7246ea4e74e0a61aab9fa4e9c9,parsed,0
4 - Carolin Roger Anthony (0001351909) (Reporting),4,2026-06-25 20:37:35,0001628280-26-045553,0001351909,4 - Carolin Roger Anthony (0001351909) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1351909/000162828026045553,https://www.sec.gov/Archives/edgar/data/1351909/000162828026045553/0001628280-26-045553-index.htm,False,https://www.sec.gov/Archives/edgar/data/1351909/000162828026045553/wk-form4_1782419853.xml,d80e71309d022de1600f40533c5398344683fdd87d790d01ced9119944d326ef,parsed,0
4 - Wheeler Penny Ann (0001856610) (Reporting),4,2026-06-25 20:37:09,0001008886-26-000185,0001856610,4 - Wheeler Penny Ann (0001856610) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1856610/000100888626000185,https://www.sec.gov/Archives/edgar/data/1856610/000100888626000185/0001008886-26-000185-index.htm,False,https://www.sec.gov/Archives/edgar/data/1856610/000100888626000185/form4.xml,d8146dcd64d08a22ec3f8491ffe7e23553c4a8efd7bbb0a8f1fafbd23ba0c599,parsed,0
4 - McCurry Jennifer Lynn (0001860167) (Reporting),4,2026-06-25 20:36:45,0001860167-26-000003,0001860167,4 - McCurry Jennifer Lynn (0001860167) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1860167/000186016726000003,https://www.sec.gov/Archives/edgar/data/1860167/000186016726000003/0001860167-26-000003-index.htm,False,https://www.sec.gov/Archives/edgar/data/1860167/000186016726000003/wk-form4_1782419800.xml,5b8492ea6ef2307505c62a008946f9272e724c2aa8af37a51cc245b43d46a83f,parsed,0
4 - ALEXANDER DOUGLAS A (0001195858) (Reporting),4,2026-06-25 20:36:26,0001628280-26-045551,0001195858,4 - ALEXANDER DOUGLAS A (0001195858) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1195858/000162828026045551,https://www.sec.gov/Archives/edgar/data/1195858/000162828026045551/0001628280-26-045551-index.htm,False,https://www.sec.gov/Archives/edgar/data/1195858/000162828026045551/wk-form4_1782419782.xml,ff486c836f5d79f6dd15027017b9d2abd624a4b1faff09c249572f7a8e5d788f,parsed,0
"4 - SmartStop Self Storage REIT, Inc. (0001585389) (Issuer)",4,2026-06-25 20:36:24,0001462183-26-000001,0001585389,"4 - SmartStop Self Storage REIT, Inc. (0001585389) (Issuer)",,,https://www.sec.gov/Archives/edgar/data/1585389/000146218326000001,https://www.sec.gov/Archives/edgar/data/1585389/000146218326000001/0001462183-26-000001-index.htm,False,https://www.sec.gov/Archives/edgar/data/1585389/000146218326000001/primary_doc.xml,e3694cc36f3961a5779bc6f98c97748bdec502318b15fd85bd2d412246d12a27,parsed,0
4 - Phillips Elizabeth D (0001467437) (Reporting),4,2026-06-25 20:36:10,0001467437-26-000002,0001467437,4 - Phillips Elizabeth D (0001467437) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1467437/000146743726000002,https://www.sec.gov/Archives/edgar/data/1467437/000146743726000002/0001467437-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1467437/000146743726000002/wk-form4_1782419767.xml,ed2997f9dd302b06a115187924112598473fd78d5cbe908df0c2262585973227,parsed,0
4 - Snyder Thomas James (0001413028) (Reporting),4,2026-06-25 20:36:04,0001413028-26-000002,0001413028,4 - Snyder Thomas James (0001413028) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1413028/000141302826000002,https://www.sec.gov/Archives/edgar/data/1413028/000141302826000002/0001413028-26-000002-index.htm,False,https://www.sec.gov/Archives/edgar/data/1413028/000141302826000002/wk-form4_1782419762.xml,c80472d518f9a746759ba0f21d9ad5ff53189509a8e09394527ca8e8ae72b291,parsed,0
