title,form_type,accepted_at,accession,cik,company_name,ticker,primary_document,archive_base_url,source_url,amendment_flag
4 - Dastoor Michael (0001295399) (Reporting),4,2026-08-19 22:26:17,0001628280-26-058079,0001295399,4 - Dastoor Michael (0001295399) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1295399/000162828026058079,https://www.sec.gov/Archives/edgar/data/1295399/000162828026058079/0001628280-26-058079-index.htm,False
4 - STEPHENS CHRISTOPHER J (0001453850) (Reporting),4,2026-08-19 22:26:11,0001628280-26-058078,0001453850,4 - STEPHENS CHRISTOPHER J (0001453850) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1453850/000162828026058078,https://www.sec.gov/Archives/edgar/data/1453850/000162828026058078/0001628280-26-058078-index.htm,False
4 - Paradowski Mark R (0001582856) (Reporting),4,2026-08-19 22:26:06,0001628280-26-058077,0001582856,4 - Paradowski Mark R (0001582856) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1582856/000162828026058077,https://www.sec.gov/Archives/edgar/data/1582856/000162828026058077/0001628280-26-058077-index.htm,False
4 - Last Timothy James (0002046045) (Reporting),4,2026-08-19 22:26:04,0001123292-26-001144,0002046045,4 - Last Timothy James (0002046045) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2046045/000112329226001144,https://www.sec.gov/Archives/edgar/data/2046045/000112329226001144/0001123292-26-001144-index.htm,False
4 - Roedel Kathryn V (0001321557) (Reporting),4,2026-08-19 22:26:00,0001628280-26-058076,0001321557,4 - Roedel Kathryn V (0001321557) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1321557/000162828026058076,https://www.sec.gov/Archives/edgar/data/1321557/000162828026058076/0001628280-26-058076-index.htm,False
4 - Yeung Rebecca (0001962960) (Reporting),4,2026-08-19 22:25:54,0001628280-26-058075,0001962960,4 - Yeung Rebecca (0001962960) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1962960/000162828026058075,https://www.sec.gov/Archives/edgar/data/1962960/000162828026058075/0001628280-26-058075-index.htm,False
4 - Kapalka Timothy (0001715998) (Reporting),4,2026-08-19 22:25:49,0001123292-26-001143,0001715998,4 - Kapalka Timothy (0001715998) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1715998/000112329226001143,https://www.sec.gov/Archives/edgar/data/1715998/000112329226001143/0001123292-26-001143-index.htm,False
4 - Campelli Andrew (0002110827) (Reporting),4,2026-08-19 22:25:48,0001628280-26-058074,0002110827,4 - Campelli Andrew (0002110827) (Reporting),,,https://www.sec.gov/Archives/edgar/data/2110827/000162828026058074,https://www.sec.gov/Archives/edgar/data/2110827/000162828026058074/0001628280-26-058074-index.htm,False
4 - Korman Alan S (0001509464) (Reporting),4,2026-08-19 22:25:42,0001628280-26-058073,0001509464,4 - Korman Alan S (0001509464) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1509464/000162828026058073,https://www.sec.gov/Archives/edgar/data/1509464/000162828026058073/0001628280-26-058073-index.htm,False
4 - Sleeper Nathan K (0001380855) (Reporting),4,2026-08-19 22:25:36,0001628280-26-058071,0001380855,4 - Sleeper Nathan K (0001380855) (Reporting),,,https://www.sec.gov/Archives/edgar/data/1380855/000162828026058071,https://www.sec.gov/Archives/edgar/data/1380855/000162828026058071/0001628280-26-058071-index.htm,False
