accepted_at,accession,cik,ticker,amendment,issuer_cik,issuer_name,issuer_trading_symbol,security_title,transaction_date,transaction_code,acquired_disposed_code,shares,price_per_share,purchase_value,reporting_owners,eligible_insider,record_key,filing_datetime,insider_name,company_name,latest_close,adv60_dollars,current_market_cap,signal_value_to_adv60,current_price_premium_to_insider_vwap,purchase_to_market_cap,passes_adv60_monitor,passes_adv60_alert,passes_price_premium,monitor_candidate,alert_candidate,high_52w,drawdown_from_52w_high,research_score,research_tier,score_reasons,score_caveats
2026-04-29 20:16:24,0001563441-26-000011,1563441,CHTR,False,1091667,"CHARTER COMMUNICATIONS, INC. /MO/",CHTR,Class A Common Stock,2026-04-28,P,A,5728.0,173.72,995068.16,"[{""cik"": ""0001563441"", ""name"": ""Davis Wade"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,2fe52a62b0c3a2bbb1fcf9145549250a7f20ff9c5e8a22ec25b82eee244e1e22,2026-04-29 20:16:24,Davis Wade,"CHARTER COMMUNICATIONS, INC. /MO/",158.64999389648438,468844988.0121506,,0.0021223819928607,-0.0867488262923994,,False,False,True,False,False,427.25,-0.6286717521439804,4.0,WATCH,"[""purchase value >= $100k ($995,068)"", ""current price below insider VWAP (-8.7%)"", ""stock down at least 30% from 52w high (-62.9%)""]","[""market cap unavailable""]"
2026-04-29 20:05:32,0001213900-26-049277,2120179,NCEL,False,1783036,NewcelX Ltd.,NCEL,"Common Shares, par value CHF 0.05 per share",2026-04-27,P,A,81818.0,2.75,224999.5,"[{""cik"": ""0002120179"", ""name"": ""Samuel Olivier"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,e7de28a3ce61394e500fc3496377318febd72f41d593584fda9b03fa2f907b2d,2026-04-29 20:05:32,Samuel Olivier,NewcelX Ltd.,3.4200000762939453,128550.87015990417,,1.750275978063187,0.2436363913796164,,True,True,False,False,False,29.0,-0.8820689628864157,3.0,ARCHIVE,"[""purchase value >= $100k ($225,000)"", ""purchase value / ADV60 >= 5% (175.0%)"", ""stock down at least 30% from 52w high (-88.2%)""]","[""current price more than 15% above insider VWAP (24.4%)"", ""market cap unavailable""]"
2026-04-29 20:05:15,0001213900-26-049273,2095518,NCEL,False,1783036,NewcelX Ltd.,NCEL,"Common Shares, par value CHF 0.05 per share",2026-04-27,P,A,54545.0,2.75,149998.75,"[{""cik"": ""0002095518"", ""name"": ""Revel Michel"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": ""CSO and Director""}]",True,b1d22735eaac94a384f6853f5b34ffa476026872ae3f6286fe493bd578643ec1,2026-04-29 20:05:15,Revel Michel,NewcelX Ltd.,3.4200000762939453,128550.87015990417,,1.1668435212722936,0.2436363913796164,,True,True,False,False,False,29.0,-0.8820689628864157,3.0,ARCHIVE,"[""purchase value >= $100k ($149,999)"", ""purchase value / ADV60 >= 5% (116.7%)"", ""stock down at least 30% from 52w high (-88.2%)""]","[""current price more than 15% above insider VWAP (24.4%)"", ""market cap unavailable""]"
2026-04-29 22:53:11,0001225208-26-004706,1213483,HBAN,False,49196,HUNTINGTON BANCSHARES INC /MD/,HBAN,Dep Shares-int in 4.50% Ser H Non-Cum Perp Pref Stk,2026-04-27,P,A,6500.0,17.09,111085.0,"[{""cik"": ""0001213483"", ""name"": ""ROLLINS JAMES D III"", ""is_director"": true, ""is_officer"": null, ""is_ten_percent_owner"": null, ""is_other"": null, ""officer_title"": null}]",True,0de9b69f632533faec61f2d716f8b734b46351be420ea43cde0c34d532b48bad,2026-04-29 22:53:11,ROLLINS JAMES D III,HUNTINGTON BANCSHARES INC /MD/,16.309999465942383,460486712.1567777,,0.0002412338881174,-0.0456407568202233,,False,False,True,False,False,19.07592391967773,-0.1449955695662094,2.0,ARCHIVE,"[""purchase value >= $100k ($111,085)"", ""current price below insider VWAP (-4.6%)""]","[""market cap unavailable""]"
2026-04-29 20:19:05,0001117310-26-000005,2088896,XE,False,2088896,"X-Energy, Inc.",XE,Class A Common Stock,2026-04-27,P,A,10000.0,23.0,230000.0,"[{""cik"": ""0001117310"", ""name"": ""HYLE KATHLEEN W"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,f8e895f141586ac8d25103db27e8c0452a248db4087f9c2bdf5b1af1f3ef6f72,2026-04-29 20:19:05,HYLE KATHLEEN W,"X-Energy, Inc.",31.07999992370605,801169465.8010316,,0.000287080336705,0.351304344508959,,False,False,False,False,False,35.97999954223633,-0.1361867615584109,-2.0,ARCHIVE,"[""purchase value >= $100k ($230,000)""]","[""current price more than 15% above insider VWAP (35.1%)"", ""market cap unavailable""]"
2026-04-30 21:22:40,0001193125-26-197887,1831125,ANIK,False,898437,"Anika Therapeutics, Inc.",ANIK,Common Stock,2026-04-30,P,A,12200.0,12.2853,149880.66,"[{""cik"": ""0001831125"", ""name"": ""Griffin Stephen D."", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""President and CEO""}]",True,86a8e4a7603bac81f9af3b0e748716346e991dac3e5d99413a302366a0158935,2026-04-30 21:22:40,Griffin Stephen D.,"Anika Therapeutics, Inc.",12.449999809265137,1914597.705714178,,0.078283108536418,0.0134062504997953,,True,True,True,True,True,16.0,-0.2218750119209289,6.0,WATCH,"[""purchase value >= $100k ($149,881)"", ""purchase value / ADV60 >= 5% (7.8%)"", ""current price within 15% of insider VWAP (1.3%)"", ""stock down at least 15% from 52w high (-22.2%)""]","[""market cap unavailable""]"
2026-04-30 21:00:04,0001193125-26-197752,2123651,IBATF,False,1786318,INTERNATIONAL BATTERY METALS LTD.,IBATF,"Common Stock, no par value",2026-04-29,P,A,34315465.0,0.08,2745237.2,"[{""cik"": ""0002082309"", ""name"": ""WARNOCK JACOB AARON"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0002109918"", ""name"": ""EV Metals VI LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0002110065"", ""name"": ""EV Metals 7 LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}, {""cik"": ""0002123651"", ""name"": ""EV Metals 9 LLC"", ""is_director"": false, ""is_officer"": false, ""is_ten_percent_owner"": true, ""is_other"": false, ""officer_title"": null}]",True,a5f3a1a86412f630f2906e308abdcc632b8e3d19e363927a9ae6890b9a68c5b3,2026-04-30 21:00:04,EV Metals 7 LLC; EV Metals 9 LLC; EV Metals VI LLC; WARNOCK JACOB AARON,INTERNATIONAL BATTERY METALS LTD.,0.1054999977350235,17636.3891969497,,155.65755378514794,0.3187499716877937,,True,True,False,False,False,0.5899999737739563,-0.8211864365684817,5.0,WATCH,"[""purchase value >= $2m ($2,745,237)"", ""purchase value / ADV60 >= 5% (15565.8%)"", ""stock down at least 30% from 52w high (-82.1%)""]","[""current price more than 15% above insider VWAP (31.9%)"", ""market cap unavailable""]"
2026-05-01 22:50:38,0001193125-26-201894,1598542,AVLN,False,1540171,Avalyn Pharma Inc.,AVLN,Common Stock,2026-05-01,P,A,277778.0,18.0,5000004.0,"[{""cik"": ""0001598542"", ""name"": ""Carroll Jill"", ""is_director"": true, ""is_officer"": false, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": null}]",True,118da70e8056460b9149b3890a180092eaa121e437eee3622b6e44f93af0d302,2026-05-01 22:50:38,Carroll Jill,Avalyn Pharma Inc.,29.84000015258789,108401547.31807709,,0.0461248397620076,0.6577777862548828,,True,False,False,False,False,29.84000015258789,0.0,2.0,ARCHIVE,"[""purchase value >= $2m ($5,000,004)"", ""purchase value / ADV60 >= 2% (4.6%)""]","[""current price more than 15% above insider VWAP (65.8%)"", ""market cap unavailable""]"
2026-05-04 21:36:36,0001283699-26-000069,1981961,TMUS,False,1283699,"T-Mobile US, Inc.",TMUS,Common Stock,2026-05-01,P,A,5097.44,196.18,1000015.7792,"[{""cik"": ""0001981961"", ""name"": ""Almeida Andre"", ""is_director"": false, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Broadband, Ent. & Emerg""}]",True,f3e58a39f4f41054030e76511ae877d1342dba3b47d0683a73dcb260825d71ba,2026-05-04 21:36:36,Almeida Andre,"T-Mobile US, Inc.",21.13999938964844,63396769.17115644,,0.0157739233761296,-0.8922418218490752,,False,False,True,True,False,36.59000015258789,-0.422246534531559,5.0,WATCH,"[""purchase value >= $1m ($1,000,016)"", ""current price below insider VWAP (-89.2%)"", ""stock down at least 30% from 52w high (-42.2%)""]","[""market cap unavailable""]"
2026-05-04 21:43:00,0001628280-26-029957,1752877,FND,False,1507079,"Floor & Decor Holdings, Inc.",FND,"Class A common stock, par value $0.001",2026-05-04,P,A,5000.0,50.25,251250.0,"[{""cik"": ""0001752877"", ""name"": ""PAULSEN BRADLEY"", ""is_director"": true, ""is_officer"": true, ""is_ten_percent_owner"": false, ""is_other"": false, ""officer_title"": ""Chief Executive Officer""}]",True,610af60d3c5c0be0fd722530ca0088f9f6a6d9ace6d2c05b7d2e443ce091bbf4,2026-05-04 21:43:00,PAULSEN BRADLEY,"Floor & Decor Holdings, Inc.",48.220001220703125,157814180.2507726,,0.0015920622570212,-0.0403979856576492,,False,False,True,False,False,90.41999816894533,-0.466710880367345,4.0,WATCH,"[""purchase value >= $100k ($251,250)"", ""current price below insider VWAP (-4.0%)"", ""stock down at least 30% from 52w high (-46.7%)""]","[""market cap unavailable""]"
